"YEAR","MH1","RACE","MARSTAT","Subgroup_Population"
2013,"Conduct Disorder",5,3,35
2013,"Conduct Disorder",5,4,94
2013,"Conduct Disorder",6,1,4639
2013,"Conduct Disorder",6,2,51
2013,"Conduct Disorder",6,3,3
2013,"Conduct Disorder",6,4,2
2013,"Delirium/Dementia",1,1,58
2013,"Delirium/Dementia",1,2,22
2013,"Delirium/Dementia",1,3,4
2013,"Delirium/Dementia",1,4,45
2013,"Delirium/Dementia",2,1,46
2013,"Delirium/Dementia",2,2,42
2013,"Delirium/Dementia",2,3,3
2013,"Delirium/Dementia",2,4,32
2013,"Delirium/Dementia",3,1,1232
2013,"Delirium/Dementia",3,2,349
2013,"Delirium/Dementia",3,3,109
2013,"Delirium/Dementia",3,4,797
2013,"Delirium/Dementia",4,1,47
2013,"Delirium/Dementia",4,2,10
2013,"Delirium/Dementia",4,3,6
2013,"Delirium/Dementia",4,4,32
2013,"Delirium/Dementia",5,1,2975
2013,"Delirium/Dementia",5,2,2280
2013,"Delirium/Dementia",5,3,283
2013,"Delirium/Dementia",5,4,4778
2013,"Delirium/Dementia",6,1,353
2013,"Delirium/Dementia",6,2,149
2013,"Delirium/Dementia",6,3,20
2013,"Delirium/Dementia",6,4,246
2013,"Bipolar Disorder",1,1,2745
2013,"Bipolar Disorder",1,2,702
2013,"Bipolar Disorder",1,3,272
2013,"Bipolar Disorder",1,4,818
2013,"Bipolar Disorder",2,1,1328
2013,"Bipolar Disorder",2,2,383
2013,"Bipolar Disorder",2,3,84
2013,"Bipolar Disorder",2,4,281
2013,"Bipolar Disorder",3,1,56403
2013,"Bipolar Disorder",3,2,6814
2013,"Bipolar Disorder",3,3,4236
2013,"Bipolar Disorder",3,4,7977
2013,"Bipolar Disorder",4,1,685
2013,"Bipolar Disorder",4,2,186
2013,"Bipolar Disorder",4,3,63
2013,"Bipolar Disorder",4,4,303
2013,"Bipolar Disorder",5,1,178749
2013,"Bipolar Disorder",5,2,57178
2013,"Bipolar Disorder",5,3,23026
2013,"Bipolar Disorder",5,4,74746
2013,"Bipolar Disorder",6,1,13907
2013,"Bipolar Disorder",6,2,2987
2013,"Bipolar Disorder",6,3,1089
2013,"Bipolar Disorder",6,4,2914
2013,"Depressive Disorder",1,1,4220
2013,"Depressive Disorder",1,2,1109
2013,"Depressive Disorder",1,3,410
2013,"Depressive Disorder",1,4,1298
2013,"Depressive Disorder",2,1,2049
2013,"Depressive Disorder",2,2,1086
2013,"Depressive Disorder",2,3,223
2013,"Depressive Disorder",2,4,707
2013,"Depressive Disorder",3,1,79916
2013,"Depressive Disorder",3,2,13364
2013,"Depressive Disorder",3,3,8882
2013,"Depressive Disorder",3,4,16812
2013,"Depressive Disorder",4,1,784
2013,"Depressive Disorder",4,2,280
2013,"Depressive Disorder",4,3,101
2013,"Depressive Disorder",4,4,348
2013,"Depressive Disorder",5,1,213146
2013,"Depressive Disorder",5,2,92662
2013,"Depressive Disorder",5,3,32471
2013,"Depressive Disorder",5,4,111563
2013,"Depressive Disorder",6,1,19283
2013,"Depressive Disorder",6,2,5864
2013,"Depressive Disorder",6,3,2000
2013,"Depressive Disorder",6,4,5187
2013,"Oppositional Defiant Disorder",1,1,746
2013,"Oppositional Defiant Disorder",1,2,6
2013,"Oppositional Defiant Disorder",1,3,1
2013,"Oppositional Defiant Disorder",2,1,140
2013,"Oppositional Defiant Disorder",2,2,1
2013,"Oppositional Defiant Disorder",2,3,2
2013,"Oppositional Defiant Disorder",2,4,3
2013,"Oppositional Defiant Disorder",3,1,19257
2013,"Oppositional Defiant Disorder",3,2,133
2013,"Oppositional Defiant Disorder",3,3,28
2013,"Oppositional Defiant Disorder",3,4,21
2013,"Oppositional Defiant Disorder",4,1,100
2013,"Oppositional Defiant Disorder",4,2,1
2013,"Oppositional Defiant Disorder",5,1,27780
2013,"Oppositional Defiant Disorder",5,2,155
2013,"Oppositional Defiant Disorder",5,3,37
2013,"Oppositional Defiant Disorder",5,4,53
2013,"Oppositional Defiant Disorder",6,1,4108
2013,"Oppositional Defiant Disorder",6,2,26
2013,"Oppositional Defiant Disorder",6,3,4
2013,"Oppositional Defiant Disorder",6,4,1
2013,"Pervasive Developmental Disorders",1,1,209
2013,"Pervasive Developmental Disorders",1,4,1
2013,"Pervasive Developmental Disorders",2,1,153
2013,"Pervasive Developmental Disorders",2,2,2
2013,"Pervasive Developmental Disorders",3,1,1989
2013,"Pervasive Developmental Disorders",3,2,15
2013,"Pervasive Developmental Disorders",3,3,1
2013,"Pervasive Developmental Disorders",3,4,4
2013,"Pervasive Developmental Disorders",4,1,142
2013,"Pervasive Developmental Disorders",4,2,5
2013,"Pervasive Developmental Disorders",4,4,2
2013,"Pervasive Developmental Disorders",5,1,13820
2013,"Pervasive Developmental Disorders",5,2,106
2013,"Pervasive Developmental Disorders",5,3,16
2013,"Pervasive Developmental Disorders",5,4,63
2013,"Pervasive Developmental Disorders",6,1,1126
2013,"Pervasive Developmental Disorders",6,2,11
2013,"Pervasive Developmental Disorders",6,3,1
2013,"Pervasive Developmental Disorders",6,4,6
2013,"Personality Disorders",1,1,124
2013,"Personality Disorders",1,2,40
2013,"Personality Disorders",1,3,24
2013,"Personality Disorders",1,4,59
2013,"Personality Disorders",2,1,54
2013,"Personality Disorders",2,2,8
2013,"Personality Disorders",2,3,3
2013,"Personality Disorders",2,4,11
2013,"Personality Disorders",3,1,2191
2013,"Personality Disorders",3,2,341
2013,"Personality Disorders",3,3,135
2013,"Personality Disorders",3,4,246
2013,"Personality Disorders",4,1,20
2013,"Personality Disorders",4,2,4
2013,"Personality Disorders",4,3,5
2013,"Personality Disorders",4,4,16
2013,"Personality Disorders",5,1,6524
2013,"Personality Disorders",5,2,2153
2013,"Personality Disorders",5,3,893
2013,"Personality Disorders",5,4,2879
2013,"Personality Disorders",6,1,359
2013,"Personality Disorders",6,2,75
2013,"Personality Disorders",6,3,44
2013,"Personality Disorders",6,4,78
2013,"Schizophrenia or other Psychotic Disorders",1,1,2088
2013,"Schizophrenia or other Psychotic Disorders",1,2,282
2013,"Schizophrenia or other Psychotic Disorders",1,3,139
2013,"Schizophrenia or other Psychotic Disorders",1,4,519
2013,"Schizophrenia or other Psychotic Disorders",2,1,3081
2013,"Schizophrenia or other Psychotic Disorders",2,2,634
2013,"Schizophrenia or other Psychotic Disorders",2,3,143
2013,"Schizophrenia or other Psychotic Disorders",2,4,605
2013,"Schizophrenia or other Psychotic Disorders",3,1,91502
2013,"Schizophrenia or other Psychotic Disorders",3,2,9822
2013,"Schizophrenia or other Psychotic Disorders",3,3,6550
2013,"Schizophrenia or other Psychotic Disorders",3,4,14885
2013,"Schizophrenia or other Psychotic Disorders",4,1,934
2013,"Schizophrenia or other Psychotic Disorders",4,2,157
2013,"Schizophrenia or other Psychotic Disorders",4,3,58
2013,"Schizophrenia or other Psychotic Disorders",4,4,279
2013,"Schizophrenia or other Psychotic Disorders",5,1,119903
2013,"Schizophrenia or other Psychotic Disorders",5,2,19801
2013,"Schizophrenia or other Psychotic Disorders",5,3,7973
2013,"Schizophrenia or other Psychotic Disorders",5,4,38975
2013,"Schizophrenia or other Psychotic Disorders",6,1,9786
2013,"Schizophrenia or other Psychotic Disorders",6,2,1596
2013,"Schizophrenia or other Psychotic Disorders",6,3,598
2013,"Schizophrenia or other Psychotic Disorders",6,4,2043
2013,"Alcohol/Substance Use Disorders",1,1,503
2013,"Alcohol/Substance Use Disorders",1,2,74
2013,"Alcohol/Substance Use Disorders",1,3,28
2013,"Alcohol/Substance Use Disorders",1,4,78
2013,"Alcohol/Substance Use Disorders",2,1,152
2013,"Alcohol/Substance Use Disorders",2,2,49
2013,"Alcohol/Substance Use Disorders",2,3,12
2013,"Alcohol/Substance Use Disorders",2,4,27
2013,"Alcohol/Substance Use Disorders",3,1,6312
2013,"Alcohol/Substance Use Disorders",3,2,1582
2013,"Alcohol/Substance Use Disorders",3,3,908
2013,"Alcohol/Substance Use Disorders",3,4,975
2013,"Alcohol/Substance Use Disorders",4,1,16
2013,"Alcohol/Substance Use Disorders",4,2,1
2013,"Alcohol/Substance Use Disorders",4,3,2
2013,"Alcohol/Substance Use Disorders",4,4,10
2013,"Alcohol/Substance Use Disorders",5,1,16138
2013,"Alcohol/Substance Use Disorders",5,2,5380
2013,"Alcohol/Substance Use Disorders",5,3,3186
2013,"Alcohol/Substance Use Disorders",5,4,5533
2013,"Alcohol/Substance Use Disorders",6,1,1337
2013,"Alcohol/Substance Use Disorders",6,2,260
2013,"Alcohol/Substance Use Disorders",6,3,119
2013,"Alcohol/Substance Use Disorders",6,4,271
2013,"Other Disorder/Condition",1,1,954
2013,"Other Disorder/Condition",1,2,164
2013,"Other Disorder/Condition",1,3,49
2013,"Other Disorder/Condition",1,4,130
2013,"Other Disorder/Condition",2,1,559
2013,"Other Disorder/Condition",2,2,206
2013,"Other Disorder/Condition",2,3,15
2013,"Other Disorder/Condition",2,4,67
2013,"Other Disorder/Condition",3,1,12338
2013,"Other Disorder/Condition",3,2,1151
2013,"Other Disorder/Condition",3,3,454
2013,"Other Disorder/Condition",3,4,868
2013,"Other Disorder/Condition",4,1,113
2013,"Other Disorder/Condition",4,2,14
2013,"Other Disorder/Condition",4,3,2
2013,"Other Disorder/Condition",4,4,9
2013,"Other Disorder/Condition",5,1,33554
2013,"Other Disorder/Condition",5,2,7634
2013,"Other Disorder/Condition",5,3,1808
2013,"Other Disorder/Condition",5,4,5985
2013,"Other Disorder/Condition",6,1,5304
2013,"Other Disorder/Condition",6,2,405
2013,"Other Disorder/Condition",6,3,130
2013,"Other Disorder/Condition",6,4,268
2014,"Missing",1,1,2142
2014,"Missing",1,2,521
2014,"Missing",1,3,172
2014,"Missing",1,4,498
2014,"Missing",2,1,1484
2014,"Missing",2,2,562
2014,"Missing",2,3,103
2014,"Missing",2,4,344
2014,"Missing",3,1,54342
2014,"Missing",3,2,5496
2014,"Missing",3,3,3566
2014,"Missing",3,4,6426
2014,"Missing",4,1,279
2014,"Missing",4,2,65
2014,"Missing",4,3,15
2014,"Missing",4,4,51
2014,"Missing",5,1,130762
2014,"Missing",5,2,39948
2014,"Missing",5,3,13944
2014,"Missing",5,4,38000
2014,"Missing",6,1,19506
2014,"Missing",6,2,6006
2014,"Missing",6,3,1424
2014,"Missing",6,4,4331
2014,"Trauma/Stress-related Disorder",1,1,4422
2014,"Trauma/Stress-related Disorder",1,2,489
2014,"Trauma/Stress-related Disorder",1,3,214
2014,"Trauma/Stress-related Disorder",1,4,443
2014,"Trauma/Stress-related Disorder",2,1,1647
2014,"Trauma/Stress-related Disorder",2,2,545
2014,"Trauma/Stress-related Disorder",2,3,99
2014,"Trauma/Stress-related Disorder",2,4,221
2014,"Trauma/Stress-related Disorder",3,1,52194
2014,"Trauma/Stress-related Disorder",3,2,3919
2014,"Trauma/Stress-related Disorder",3,3,1953
2014,"Trauma/Stress-related Disorder",3,4,3075
2014,"Trauma/Stress-related Disorder",4,1,521
2014,"Trauma/Stress-related Disorder",4,2,67
2014,"Trauma/Stress-related Disorder",4,3,30
2014,"Trauma/Stress-related Disorder",4,4,50
2014,"Trauma/Stress-related Disorder",5,1,158053
2014,"Trauma/Stress-related Disorder",5,2,27918
2014,"Trauma/Stress-related Disorder",5,3,10528
2014,"Trauma/Stress-related Disorder",5,4,25034
2014,"Trauma/Stress-related Disorder",6,1,16901
2014,"Trauma/Stress-related Disorder",6,2,1612
2014,"Trauma/Stress-related Disorder",6,3,625
2014,"Trauma/Stress-related Disorder",6,4,1225
2014,"Anxiety Disorder",1,1,1527
2014,"Anxiety Disorder",1,2,290
2014,"Anxiety Disorder",1,3,84
2014,"Anxiety Disorder",1,4,224
2014,"Anxiety Disorder",2,1,794
2014,"Anxiety Disorder",2,2,275
2014,"Anxiety Disorder",2,3,36
2014,"Anxiety Disorder",2,4,101
2014,"Anxiety Disorder",3,1,17275
2014,"Anxiety Disorder",3,2,1792
2014,"Anxiety Disorder",3,3,931
2014,"Anxiety Disorder",3,4,1742
2014,"Anxiety Disorder",4,1,372
2014,"Anxiety Disorder",4,2,71
2014,"Anxiety Disorder",4,3,18
2014,"Anxiety Disorder",4,4,78
2014,"Anxiety Disorder",5,1,97127
2014,"Anxiety Disorder",5,2,25177
2014,"Anxiety Disorder",5,3,7407
2014,"Anxiety Disorder",5,4,22245
2014,"Anxiety Disorder",6,1,8342
2014,"Anxiety Disorder",6,2,1298
2014,"Anxiety Disorder",6,3,436
2014,"Anxiety Disorder",6,4,825
2014,"ADHD",1,1,2119
2014,"ADHD",1,2,24
2014,"ADHD",1,3,5
2014,"ADHD",1,4,26
2014,"ADHD",2,1,762
2014,"ADHD",2,2,19
2014,"ADHD",2,3,7
2014,"ADHD",2,4,4
2014,"ADHD",3,1,64397
2014,"ADHD",3,2,269
2014,"ADHD",3,3,88
2014,"ADHD",3,4,137
2014,"ADHD",4,1,299
2014,"ADHD",4,2,12
2014,"ADHD",4,3,3
2014,"ADHD",4,4,8
2014,"ADHD",5,1,137192
2014,"ADHD",5,2,2916
2014,"ADHD",5,3,757
2014,"ADHD",5,4,2035
2014,"ADHD",6,1,19517
2014,"ADHD",6,2,107
2014,"ADHD",6,3,42
2014,"ADHD",6,4,70
2014,"Conduct Disorder",1,1,729
2014,"Conduct Disorder",1,2,1
2014,"Conduct Disorder",1,4,1
2014,"Conduct Disorder",2,1,209
2014,"Conduct Disorder",2,2,1
2014,"Conduct Disorder",2,4,2
2014,"Conduct Disorder",3,1,19714
2014,"Conduct Disorder",3,2,72
2014,"Conduct Disorder",3,3,16
2014,"Conduct Disorder",3,4,26
2014,"Conduct Disorder",4,1,113
2014,"Conduct Disorder",5,1,32851
2014,"Conduct Disorder",5,2,128
2014,"Conduct Disorder",5,3,45
2014,"Conduct Disorder",5,4,96
2014,"Conduct Disorder",6,1,4739
2014,"Conduct Disorder",6,2,9
2014,"Conduct Disorder",6,3,5
2014,"Conduct Disorder",6,4,2
2014,"Delirium/Dementia",1,1,47
2014,"Delirium/Dementia",1,2,19
2014,"Delirium/Dementia",1,3,2
2014,"Delirium/Dementia",1,4,34
2014,"Delirium/Dementia",2,1,55
2014,"Delirium/Dementia",2,2,53
2014,"Delirium/Dementia",2,3,4
2014,"Delirium/Dementia",2,4,34
2014,"Delirium/Dementia",3,1,1325
2014,"Delirium/Dementia",3,2,324
2014,"Delirium/Dementia",3,3,109
2014,"Delirium/Dementia",3,4,743
2014,"Delirium/Dementia",4,1,48
2014,"Delirium/Dementia",4,2,11
2014,"Delirium/Dementia",4,3,7
2014,"Delirium/Dementia",4,4,37
2014,"Delirium/Dementia",5,1,3318
2014,"Delirium/Dementia",5,2,2212
2014,"Delirium/Dementia",5,3,277
2014,"Delirium/Dementia",5,4,4467
2014,"Delirium/Dementia",6,1,360
2014,"Delirium/Dementia",6,2,135
2014,"Delirium/Dementia",6,3,25
2014,"Delirium/Dementia",6,4,191
2014,"Bipolar Disorder",1,1,3004
2014,"Bipolar Disorder",1,2,735
2014,"Bipolar Disorder",1,3,359
2014,"Bipolar Disorder",1,4,939
2014,"Bipolar Disorder",2,1,1638
2014,"Bipolar Disorder",2,2,540
2014,"Bipolar Disorder",2,3,133
2014,"Bipolar Disorder",2,4,333
2014,"Bipolar Disorder",3,1,68225
2014,"Bipolar Disorder",3,2,6782
2014,"Bipolar Disorder",3,3,4847
2014,"Bipolar Disorder",3,4,8751
2014,"Bipolar Disorder",4,1,707
2014,"Bipolar Disorder",4,2,200
2014,"Bipolar Disorder",4,3,80
2014,"Bipolar Disorder",4,4,324
2014,"Bipolar Disorder",5,1,210146
2014,"Bipolar Disorder",5,2,58682
2014,"Bipolar Disorder",5,3,26806
2014,"Bipolar Disorder",5,4,80090
2014,"Bipolar Disorder",6,1,16435
2014,"Bipolar Disorder",6,2,2738
2014,"Bipolar Disorder",6,3,1273
2014,"Bipolar Disorder",6,4,2766
2014,"Depressive Disorder",1,1,4605
2014,"Depressive Disorder",1,2,1149
2014,"Depressive Disorder",1,3,499
2014,"Depressive Disorder",1,4,1460
2014,"Depressive Disorder",2,1,2623
2014,"Depressive Disorder",2,2,1373
2014,"Depressive Disorder",2,3,273
2014,"Depressive Disorder",2,4,796
2014,"Depressive Disorder",3,1,99807
2014,"Depressive Disorder",3,2,12957
2014,"Depressive Disorder",3,3,9592
2014,"Depressive Disorder",3,4,17318
2014,"Depressive Disorder",4,1,875
2014,"Depressive Disorder",4,2,288
2014,"Depressive Disorder",4,3,110
2014,"Depressive Disorder",4,4,426
2014,"Depressive Disorder",5,1,254565
2014,"Depressive Disorder",5,2,96388
2014,"Depressive Disorder",5,3,38148
2014,"Depressive Disorder",5,4,120772
2014,"Depressive Disorder",6,1,27073
2014,"Depressive Disorder",6,2,6279
2014,"Depressive Disorder",6,3,3001
2014,"Depressive Disorder",6,4,5591
2014,"Oppositional Defiant Disorder",1,1,815
2014,"Oppositional Defiant Disorder",1,2,3
2014,"Oppositional Defiant Disorder",2,1,173
2014,"Oppositional Defiant Disorder",2,2,1
2014,"Oppositional Defiant Disorder",2,3,1
2014,"Oppositional Defiant Disorder",2,4,1
2014,"Oppositional Defiant Disorder",3,1,21455
2014,"Oppositional Defiant Disorder",3,2,56
2014,"Oppositional Defiant Disorder",3,3,23
2014,"Oppositional Defiant Disorder",3,4,28
2014,"Oppositional Defiant Disorder",4,1,125
2014,"Oppositional Defiant Disorder",4,4,1
2014,"Oppositional Defiant Disorder",5,1,31800
2014,"Oppositional Defiant Disorder",5,2,87
2014,"Oppositional Defiant Disorder",5,3,44
2014,"Oppositional Defiant Disorder",5,4,38
2014,"Oppositional Defiant Disorder",6,1,4712
2014,"Oppositional Defiant Disorder",6,2,4
2014,"Oppositional Defiant Disorder",6,3,4
2014,"Oppositional Defiant Disorder",6,4,3
2014,"Pervasive Developmental Disorders",1,1,235
2014,"Pervasive Developmental Disorders",1,2,2
2014,"Pervasive Developmental Disorders",2,1,565
2014,"Pervasive Developmental Disorders",2,2,3
2014,"Pervasive Developmental Disorders",3,1,4712
2014,"Pervasive Developmental Disorders",3,2,13
2014,"Pervasive Developmental Disorders",3,3,3
2014,"Pervasive Developmental Disorders",3,4,8
2014,"Pervasive Developmental Disorders",4,1,189
2014,"Pervasive Developmental Disorders",4,2,4
2014,"Pervasive Developmental Disorders",4,4,2
2014,"Pervasive Developmental Disorders",5,1,32320
2014,"Pervasive Developmental Disorders",5,2,139
2014,"Pervasive Developmental Disorders",5,3,28
2014,"Pervasive Developmental Disorders",5,4,58
2014,"Pervasive Developmental Disorders",6,1,3522
2014,"Pervasive Developmental Disorders",6,2,11
2014,"Pervasive Developmental Disorders",6,3,3
2014,"Pervasive Developmental Disorders",6,4,4
2014,"Personality Disorders",1,1,82
2014,"Personality Disorders",1,2,29
2014,"Personality Disorders",1,3,13
2014,"Personality Disorders",1,4,30
2014,"Personality Disorders",2,1,52
2014,"Personality Disorders",2,2,6
2014,"Personality Disorders",2,3,3
2014,"Personality Disorders",2,4,11
2014,"Personality Disorders",3,1,2117
2014,"Personality Disorders",3,2,291
2014,"Personality Disorders",3,3,118
2014,"Personality Disorders",3,4,226
2014,"Personality Disorders",4,1,9
2014,"Personality Disorders",4,2,6
2014,"Personality Disorders",4,3,4
2014,"Personality Disorders",4,4,20
2014,"Personality Disorders",5,1,6014
2014,"Personality Disorders",5,2,1634
2014,"Personality Disorders",5,3,721
2014,"Personality Disorders",5,4,2148
2014,"Personality Disorders",6,1,378
2014,"Personality Disorders",6,2,56
2014,"Personality Disorders",6,3,34
2014,"Personality Disorders",6,4,57
2014,"Schizophrenia or other Psychotic Disorders",1,1,2157
2014,"Schizophrenia or other Psychotic Disorders",1,2,307
2014,"Schizophrenia or other Psychotic Disorders",1,3,154
2014,"Schizophrenia or other Psychotic Disorders",1,4,503
2014,"Schizophrenia or other Psychotic Disorders",2,1,3689
2014,"Schizophrenia or other Psychotic Disorders",2,2,704
2014,"Schizophrenia or other Psychotic Disorders",2,3,169
2014,"Schizophrenia or other Psychotic Disorders",2,4,682
2014,"Schizophrenia or other Psychotic Disorders",3,1,101834
2014,"Schizophrenia or other Psychotic Disorders",3,2,8879
2014,"Schizophrenia or other Psychotic Disorders",3,3,6689
2014,"Schizophrenia or other Psychotic Disorders",3,4,14888
2014,"Schizophrenia or other Psychotic Disorders",4,1,1032
2014,"Schizophrenia or other Psychotic Disorders",4,2,157
2014,"Schizophrenia or other Psychotic Disorders",4,3,54
2014,"Schizophrenia or other Psychotic Disorders",4,4,290
2014,"Schizophrenia or other Psychotic Disorders",5,1,133902
2014,"Schizophrenia or other Psychotic Disorders",5,2,19566
2014,"Schizophrenia or other Psychotic Disorders",5,3,8983
2014,"Schizophrenia or other Psychotic Disorders",5,4,40148
2014,"Schizophrenia or other Psychotic Disorders",6,1,10349
2014,"Schizophrenia or other Psychotic Disorders",6,2,1513
2014,"Schizophrenia or other Psychotic Disorders",6,3,660
2014,"Schizophrenia or other Psychotic Disorders",6,4,1895
2014,"Alcohol/Substance Use Disorders",1,1,516
2014,"Alcohol/Substance Use Disorders",1,2,89
2014,"Alcohol/Substance Use Disorders",1,3,33
2014,"Alcohol/Substance Use Disorders",1,4,82
2014,"Alcohol/Substance Use Disorders",2,1,286
2014,"Alcohol/Substance Use Disorders",2,2,54
2014,"Alcohol/Substance Use Disorders",2,3,20
2014,"Alcohol/Substance Use Disorders",2,4,31
2014,"Alcohol/Substance Use Disorders",3,1,21990
2014,"Alcohol/Substance Use Disorders",3,2,2014
2014,"Alcohol/Substance Use Disorders",3,3,1700
2014,"Alcohol/Substance Use Disorders",3,4,1882
2014,"Alcohol/Substance Use Disorders",4,1,35
2014,"Alcohol/Substance Use Disorders",4,2,7
2014,"Alcohol/Substance Use Disorders",4,3,6
2014,"Alcohol/Substance Use Disorders",4,4,6
2014,"Alcohol/Substance Use Disorders",5,1,49113
2014,"Alcohol/Substance Use Disorders",5,2,8223
2014,"Alcohol/Substance Use Disorders",5,3,7013
2014,"Alcohol/Substance Use Disorders",5,4,10245
2014,"Alcohol/Substance Use Disorders",6,1,5244
2014,"Alcohol/Substance Use Disorders",6,2,416
2014,"Alcohol/Substance Use Disorders",6,3,285
2014,"Alcohol/Substance Use Disorders",6,4,410
2014,"Other Disorder/Condition",1,1,913
2014,"Other Disorder/Condition",1,2,137
2014,"Other Disorder/Condition",1,3,39
2014,"Other Disorder/Condition",1,4,103
2014,"Other Disorder/Condition",2,1,682
2014,"Other Disorder/Condition",2,2,216
2014,"Other Disorder/Condition",2,3,12
2014,"Other Disorder/Condition",2,4,68
2014,"Other Disorder/Condition",3,1,14129
2014,"Other Disorder/Condition",3,2,1140
2014,"Other Disorder/Condition",3,3,497
2014,"Other Disorder/Condition",3,4,928
2014,"Other Disorder/Condition",4,1,118
2014,"Other Disorder/Condition",4,2,8
2014,"Other Disorder/Condition",4,3,2
2014,"Other Disorder/Condition",4,4,9
2014,"Other Disorder/Condition",5,1,39530
2014,"Other Disorder/Condition",5,2,7560
2014,"Other Disorder/Condition",5,3,1970
2014,"Other Disorder/Condition",5,4,6032
2014,"Other Disorder/Condition",6,1,6214
2014,"Other Disorder/Condition",6,2,417
2014,"Other Disorder/Condition",6,3,122
2014,"Other Disorder/Condition",6,4,285
2015,"Missing",1,1,2303
2015,"Missing",1,2,523
2015,"Missing",1,3,192
2015,"Missing",1,4,510
2015,"Missing",2,1,1546
2015,"Missing",2,2,506
2015,"Missing",2,3,107
2015,"Missing",2,4,345
2015,"Missing",3,1,36435
2015,"Missing",3,2,4154
