"YEAR","MH1","EDUC","RACE","Subgroup_Population"
2013,"ADHD",1,4,1
2013,"ADHD",1,5,565
2013,"ADHD",1,6,41
2013,"ADHD",2,1,1452
2013,"ADHD",2,2,391
2013,"ADHD",2,3,45867
2013,"ADHD",2,4,123
2013,"ADHD",2,5,78231
2013,"ADHD",2,6,8731
2013,"ADHD",3,1,227
2013,"ADHD",3,2,58
2013,"ADHD",3,3,6390
2013,"ADHD",3,4,20
2013,"ADHD",3,5,12788
2013,"ADHD",3,6,1176
2013,"ADHD",4,1,85
2013,"ADHD",4,2,36
2013,"ADHD",4,3,1402
2013,"ADHD",4,4,11
2013,"ADHD",4,5,6293
2013,"ADHD",4,6,366
2013,"ADHD",5,1,32
2013,"ADHD",5,2,35
2013,"ADHD",5,3,309
2013,"ADHD",5,4,14
2013,"ADHD",5,5,2941
2013,"ADHD",5,6,144
2013,"Conduct Disorder",1,1,3
2013,"Conduct Disorder",1,2,4
2013,"Conduct Disorder",1,3,131
2013,"Conduct Disorder",1,5,186
2013,"Conduct Disorder",1,6,7
2013,"Conduct Disorder",2,1,422
2013,"Conduct Disorder",2,2,121
2013,"Conduct Disorder",2,3,12178
2013,"Conduct Disorder",2,4,60
2013,"Conduct Disorder",2,5,19587
2013,"Conduct Disorder",2,6,2817
2013,"Conduct Disorder",3,1,120
2013,"Conduct Disorder",3,2,46
2013,"Conduct Disorder",3,3,3229
2013,"Conduct Disorder",3,4,9
2013,"Conduct Disorder",3,5,4428
2013,"Conduct Disorder",3,6,656
2013,"Conduct Disorder",4,1,26
2013,"Conduct Disorder",4,2,7
2013,"Conduct Disorder",4,3,366
2013,"Conduct Disorder",4,4,1
2013,"Conduct Disorder",4,5,787
2013,"Conduct Disorder",4,6,106
2013,"Conduct Disorder",5,1,1
2013,"Conduct Disorder",5,2,1
2013,"Conduct Disorder",5,3,36
2013,"Conduct Disorder",5,4,3
2013,"Conduct Disorder",5,5,75
2013,"Conduct Disorder",5,6,17
2013,"Delirium/Dementia",1,1,2
2013,"Delirium/Dementia",1,3,23
2013,"Delirium/Dementia",1,5,73
2013,"Delirium/Dementia",1,6,7
2013,"Delirium/Dementia",2,1,30
2013,"Delirium/Dementia",2,2,20
2013,"Delirium/Dementia",2,3,427
2013,"Delirium/Dementia",2,4,6
2013,"Delirium/Dementia",2,5,1139
2013,"Delirium/Dementia",2,6,127
2013,"Delirium/Dementia",3,1,25
2013,"Delirium/Dementia",3,2,5
2013,"Delirium/Dementia",3,3,345
2013,"Delirium/Dementia",3,4,13
2013,"Delirium/Dementia",3,5,888
2013,"Delirium/Dementia",3,6,68
2013,"Delirium/Dementia",4,1,35
2013,"Delirium/Dementia",4,2,30
2013,"Delirium/Dementia",4,3,723
2013,"Delirium/Dementia",4,4,48
2013,"Delirium/Dementia",4,5,2826
2013,"Delirium/Dementia",4,6,200
2013,"Delirium/Dementia",5,1,7
2013,"Delirium/Dementia",5,2,12
2013,"Delirium/Dementia",5,3,129
2013,"Delirium/Dementia",5,4,18
2013,"Delirium/Dementia",5,5,762
2013,"Delirium/Dementia",5,6,33
2013,"Bipolar Disorder",1,1,21
2013,"Bipolar Disorder",1,2,18
2013,"Bipolar Disorder",1,3,611
2013,"Bipolar Disorder",1,4,3
2013,"Bipolar Disorder",1,5,1521
2013,"Bipolar Disorder",1,6,91
2013,"Bipolar Disorder",2,1,832
2013,"Bipolar Disorder",2,2,283
2013,"Bipolar Disorder",2,3,11581
2013,"Bipolar Disorder",2,4,163
2013,"Bipolar Disorder",2,5,42370
2013,"Bipolar Disorder",2,6,4529
2013,"Bipolar Disorder",3,1,951
2013,"Bipolar Disorder",3,2,293
2013,"Bipolar Disorder",3,3,17282
2013,"Bipolar Disorder",3,4,125
2013,"Bipolar Disorder",3,5,54634
2013,"Bipolar Disorder",3,6,4373
2013,"Bipolar Disorder",4,1,1474
2013,"Bipolar Disorder",4,2,632
2013,"Bipolar Disorder",4,3,22226
2013,"Bipolar Disorder",4,4,453
2013,"Bipolar Disorder",4,5,109044
2013,"Bipolar Disorder",4,6,5941
2013,"Bipolar Disorder",5,1,510
2013,"Bipolar Disorder",5,2,497
2013,"Bipolar Disorder",5,3,9735
2013,"Bipolar Disorder",5,4,273
2013,"Bipolar Disorder",5,5,54497
2013,"Bipolar Disorder",5,6,2707
2013,"Depressive Disorder",1,1,42
2013,"Depressive Disorder",1,2,37
2013,"Depressive Disorder",1,3,954
2013,"Depressive Disorder",1,5,2153
2013,"Depressive Disorder",1,6,112
2013,"Depressive Disorder",2,1,1329
2013,"Depressive Disorder",2,2,973
2013,"Depressive Disorder",2,3,15453
2013,"Depressive Disorder",2,4,174
2013,"Depressive Disorder",2,5,59535
2013,"Depressive Disorder",2,6,6776
2013,"Depressive Disorder",3,1,1480
2013,"Depressive Disorder",3,2,674
2013,"Depressive Disorder",3,3,27098
2013,"Depressive Disorder",3,4,208
2013,"Depressive Disorder",3,5,76668
2013,"Depressive Disorder",3,6,6376
2013,"Depressive Disorder",4,1,2327
2013,"Depressive Disorder",4,2,1090
2013,"Depressive Disorder",4,3,38497
2013,"Depressive Disorder",4,4,570
2013,"Depressive Disorder",4,5,151360
2013,"Depressive Disorder",4,6,8555
2013,"Depressive Disorder",5,1,733
2013,"Depressive Disorder",5,2,717
2013,"Depressive Disorder",5,3,13895
2013,"Depressive Disorder",5,4,295
2013,"Depressive Disorder",5,5,71628
2013,"Depressive Disorder",5,6,3859
2013,"Oppositional Defiant Disorder",1,1,1
2013,"Oppositional Defiant Disorder",1,2,1
2013,"Oppositional Defiant Disorder",1,3,134
2013,"Oppositional Defiant Disorder",1,4,1
2013,"Oppositional Defiant Disorder",1,5,105
2013,"Oppositional Defiant Disorder",1,6,15
2013,"Oppositional Defiant Disorder",2,1,562
2013,"Oppositional Defiant Disorder",2,2,92
2013,"Oppositional Defiant Disorder",2,3,13598
2013,"Oppositional Defiant Disorder",2,4,53
2013,"Oppositional Defiant Disorder",2,5,19564
2013,"Oppositional Defiant Disorder",2,6,2907
2013,"Oppositional Defiant Disorder",3,1,186
2013,"Oppositional Defiant Disorder",3,2,36
2013,"Oppositional Defiant Disorder",3,3,4336
2013,"Oppositional Defiant Disorder",3,4,10
2013,"Oppositional Defiant Disorder",3,5,5983
2013,"Oppositional Defiant Disorder",3,6,841
2013,"Oppositional Defiant Disorder",4,1,16
2013,"Oppositional Defiant Disorder",4,2,5
2013,"Oppositional Defiant Disorder",4,3,419
2013,"Oppositional Defiant Disorder",4,4,3
2013,"Oppositional Defiant Disorder",4,5,706
2013,"Oppositional Defiant Disorder",4,6,80
2013,"Oppositional Defiant Disorder",5,1,1
2013,"Oppositional Defiant Disorder",5,3,40
2013,"Oppositional Defiant Disorder",5,4,5
2013,"Oppositional Defiant Disorder",5,5,92
2013,"Oppositional Defiant Disorder",5,6,16
2013,"Pervasive Developmental Disorders",1,1,3
2013,"Pervasive Developmental Disorders",1,2,2
2013,"Pervasive Developmental Disorders",1,3,232
2013,"Pervasive Developmental Disorders",1,4,1
2013,"Pervasive Developmental Disorders",1,5,350
2013,"Pervasive Developmental Disorders",1,6,33
2013,"Pervasive Developmental Disorders",2,1,96
2013,"Pervasive Developmental Disorders",2,2,66
2013,"Pervasive Developmental Disorders",2,3,815
2013,"Pervasive Developmental Disorders",2,4,60
2013,"Pervasive Developmental Disorders",2,5,5202
2013,"Pervasive Developmental Disorders",2,6,492
2013,"Pervasive Developmental Disorders",3,1,17
2013,"Pervasive Developmental Disorders",3,2,15
2013,"Pervasive Developmental Disorders",3,3,166
2013,"Pervasive Developmental Disorders",3,4,6
2013,"Pervasive Developmental Disorders",3,5,1270
2013,"Pervasive Developmental Disorders",3,6,97
2013,"Pervasive Developmental Disorders",4,1,19
2013,"Pervasive Developmental Disorders",4,2,7
2013,"Pervasive Developmental Disorders",4,3,182
2013,"Pervasive Developmental Disorders",4,4,33
2013,"Pervasive Developmental Disorders",4,5,1498
2013,"Pervasive Developmental Disorders",4,6,102
2013,"Pervasive Developmental Disorders",5,1,1
2013,"Pervasive Developmental Disorders",5,2,8
2013,"Pervasive Developmental Disorders",5,3,20
2013,"Pervasive Developmental Disorders",5,4,31
2013,"Pervasive Developmental Disorders",5,5,315
2013,"Pervasive Developmental Disorders",5,6,38
2013,"Personality Disorders",1,1,2
2013,"Personality Disorders",1,2,3
2013,"Personality Disorders",1,3,26
2013,"Personality Disorders",1,5,107
2013,"Personality Disorders",1,6,2
2013,"Personality Disorders",2,1,35
2013,"Personality Disorders",2,2,17
2013,"Personality Disorders",2,3,396
2013,"Personality Disorders",2,4,1
2013,"Personality Disorders",2,5,1384
2013,"Personality Disorders",2,6,112
2013,"Personality Disorders",3,1,49
2013,"Personality Disorders",3,2,9
2013,"Personality Disorders",3,3,1174
2013,"Personality Disorders",3,4,10
2013,"Personality Disorders",3,5,2596
2013,"Personality Disorders",3,6,170
2013,"Personality Disorders",4,1,99
2013,"Personality Disorders",4,2,38
2013,"Personality Disorders",4,3,1332
2013,"Personality Disorders",4,4,20
2013,"Personality Disorders",4,5,5693
2013,"Personality Disorders",4,6,220
2013,"Personality Disorders",5,1,19
2013,"Personality Disorders",5,2,26
2013,"Personality Disorders",5,3,538
2013,"Personality Disorders",5,4,11
2013,"Personality Disorders",5,5,2612
2013,"Personality Disorders",5,6,165
2013,"Schizophrenia or other Psychotic Disorders",1,1,25
2013,"Schizophrenia or other Psychotic Disorders",1,2,30
2013,"Schizophrenia or other Psychotic Disorders",1,3,1371
2013,"Schizophrenia or other Psychotic Disorders",1,4,3
2013,"Schizophrenia or other Psychotic Disorders",1,5,1369
2013,"Schizophrenia or other Psychotic Disorders",1,6,80
2013,"Schizophrenia or other Psychotic Disorders",2,1,440
2013,"Schizophrenia or other Psychotic Disorders",2,2,560
2013,"Schizophrenia or other Psychotic Disorders",2,3,11610
2013,"Schizophrenia or other Psychotic Disorders",2,4,72
2013,"Schizophrenia or other Psychotic Disorders",2,5,17758
2013,"Schizophrenia or other Psychotic Disorders",2,6,1978
2013,"Schizophrenia or other Psychotic Disorders",3,1,632
2013,"Schizophrenia or other Psychotic Disorders",3,2,619
2013,"Schizophrenia or other Psychotic Disorders",3,3,29013
2013,"Schizophrenia or other Psychotic Disorders",3,4,189
2013,"Schizophrenia or other Psychotic Disorders",3,5,29003
2013,"Schizophrenia or other Psychotic Disorders",3,6,2972
2013,"Schizophrenia or other Psychotic Disorders",4,1,1016
2013,"Schizophrenia or other Psychotic Disorders",4,2,1481
2013,"Schizophrenia or other Psychotic Disorders",4,3,42451
2013,"Schizophrenia or other Psychotic Disorders",4,4,696
2013,"Schizophrenia or other Psychotic Disorders",4,5,65821
2013,"Schizophrenia or other Psychotic Disorders",4,6,4783
2013,"Schizophrenia or other Psychotic Disorders",5,1,260
2013,"Schizophrenia or other Psychotic Disorders",5,2,942
2013,"Schizophrenia or other Psychotic Disorders",5,3,12324
2013,"Schizophrenia or other Psychotic Disorders",5,4,287
2013,"Schizophrenia or other Psychotic Disorders",5,5,24710
2013,"Schizophrenia or other Psychotic Disorders",5,6,1616
2013,"Alcohol/Substance Use Disorders",1,1,9
2013,"Alcohol/Substance Use Disorders",1,2,2
2013,"Alcohol/Substance Use Disorders",1,3,85
2013,"Alcohol/Substance Use Disorders",1,5,202
2013,"Alcohol/Substance Use Disorders",1,6,12
2013,"Alcohol/Substance Use Disorders",2,1,79
2013,"Alcohol/Substance Use Disorders",2,2,21
2013,"Alcohol/Substance Use Disorders",2,3,1056
2013,"Alcohol/Substance Use Disorders",2,4,2
2013,"Alcohol/Substance Use Disorders",2,5,2672
2013,"Alcohol/Substance Use Disorders",2,6,243
2013,"Alcohol/Substance Use Disorders",3,1,129
2013,"Alcohol/Substance Use Disorders",3,2,33
2013,"Alcohol/Substance Use Disorders",3,3,2372
2013,"Alcohol/Substance Use Disorders",3,4,1
2013,"Alcohol/Substance Use Disorders",3,5,4478
2013,"Alcohol/Substance Use Disorders",3,6,375
2013,"Alcohol/Substance Use Disorders",4,1,176
2013,"Alcohol/Substance Use Disorders",4,2,84
2013,"Alcohol/Substance Use Disorders",4,3,3707
2013,"Alcohol/Substance Use Disorders",4,4,9
2013,"Alcohol/Substance Use Disorders",4,5,11245
2013,"Alcohol/Substance Use Disorders",4,6,723
2013,"Alcohol/Substance Use Disorders",5,1,18
2013,"Alcohol/Substance Use Disorders",5,2,15
2013,"Alcohol/Substance Use Disorders",5,3,426
2013,"Alcohol/Substance Use Disorders",5,4,2
2013,"Alcohol/Substance Use Disorders",5,5,2643
2013,"Alcohol/Substance Use Disorders",5,6,151
2013,"Other Disorder/Condition",1,1,18
2013,"Other Disorder/Condition",1,2,11
2013,"Other Disorder/Condition",1,3,431
2013,"Other Disorder/Condition",1,5,794
2013,"Other Disorder/Condition",1,6,37
2013,"Other Disorder/Condition",2,1,402
2013,"Other Disorder/Condition",2,2,172
2013,"Other Disorder/Condition",2,3,4653
2013,"Other Disorder/Condition",2,4,49
2013,"Other Disorder/Condition",2,5,13395
2013,"Other Disorder/Condition",2,6,3484
2013,"Other Disorder/Condition",3,1,232
2013,"Other Disorder/Condition",3,2,110
2013,"Other Disorder/Condition",3,3,3057
2013,"Other Disorder/Condition",3,4,22
2013,"Other Disorder/Condition",3,5,7162
2013,"Other Disorder/Condition",3,6,650
2013,"Other Disorder/Condition",4,1,286
2013,"Other Disorder/Condition",4,2,228
2013,"Other Disorder/Condition",4,3,3728
2013,"Other Disorder/Condition",4,4,27
2013,"Other Disorder/Condition",4,5,14335
2013,"Other Disorder/Condition",4,6,765
2013,"Other Disorder/Condition",5,1,42
2013,"Other Disorder/Condition",5,2,46
2013,"Other Disorder/Condition",5,3,806
2013,"Other Disorder/Condition",5,4,10
2013,"Other Disorder/Condition",5,5,3282
2013,"Other Disorder/Condition",5,6,164
2014,"Missing",1,1,7
2014,"Missing",1,2,25
2014,"Missing",1,3,275
2014,"Missing",1,5,659
2014,"Missing",1,6,183
2014,"Missing",2,1,765
2014,"Missing",2,2,536
2014,"Missing",2,3,7843
2014,"Missing",2,4,79
2014,"Missing",2,5,27294
2014,"Missing",2,6,8147
2014,"Missing",3,1,625
2014,"Missing",3,2,272
2014,"Missing",3,3,5780
2014,"Missing",3,4,47
2014,"Missing",3,5,17891
2014,"Missing",3,6,4616
2014,"Missing",4,1,1047
2014,"Missing",4,2,507
2014,"Missing",4,3,8277
2014,"Missing",4,4,76
2014,"Missing",4,5,37334
2014,"Missing",4,6,6851
2014,"Missing",5,1,433
2014,"Missing",5,2,255
2014,"Missing",5,3,2258
2014,"Missing",5,4,44
2014,"Missing",5,5,14077
2014,"Missing",5,6,2659
2014,"Trauma/Stress-related Disorder",1,1,18
2014,"Trauma/Stress-related Disorder",1,2,16
2014,"Trauma/Stress-related Disorder",1,3,245
2014,"Trauma/Stress-related Disorder",1,5,697
2014,"Trauma/Stress-related Disorder",1,6,49
2014,"Trauma/Stress-related Disorder",2,1,2508
2014,"Trauma/Stress-related Disorder",2,2,1300
2014,"Trauma/Stress-related Disorder",2,3,20224
2014,"Trauma/Stress-related Disorder",2,4,228
2014,"Trauma/Stress-related Disorder",2,5,71438
2014,"Trauma/Stress-related Disorder",2,6,7700
2014,"Trauma/Stress-related Disorder",3,1,1246
2014,"Trauma/Stress-related Disorder",3,2,452
2014,"Trauma/Stress-related Disorder",3,3,10037
2014,"Trauma/Stress-related Disorder",3,4,65
2014,"Trauma/Stress-related Disorder",3,5,29519
2014,"Trauma/Stress-related Disorder",3,6,2656
2014,"Trauma/Stress-related Disorder",4,1,1552
2014,"Trauma/Stress-related Disorder",4,2,708
2014,"Trauma/Stress-related Disorder",4,3,11234
2014,"Trauma/Stress-related Disorder",4,4,131
2014,"Trauma/Stress-related Disorder",4,5,49845
2014,"Trauma/Stress-related Disorder",4,6,2722
2014,"Trauma/Stress-related Disorder",5,1,521
2014,"Trauma/Stress-related Disorder",5,2,280
2014,"Trauma/Stress-related Disorder",5,3,3690
2014,"Trauma/Stress-related Disorder",5,4,64
2014,"Trauma/Stress-related Disorder",5,5,21840
2014,"Trauma/Stress-related Disorder",5,6,1191
2014,"Anxiety Disorder",1,1,5
2014,"Anxiety Disorder",1,2,9
2014,"Anxiety Disorder",1,3,202
2014,"Anxiety Disorder",1,4,1
2014,"Anxiety Disorder",1,5,726
2014,"Anxiety Disorder",1,6,47
2014,"Anxiety Disorder",2,1,731
2014,"Anxiety Disorder",2,2,457
2014,"Anxiety Disorder",2,3,5005
2014,"Anxiety Disorder",2,4,138
2014,"Anxiety Disorder",2,5,32057
2014,"Anxiety Disorder",2,6,2877
2014,"Anxiety Disorder",3,1,646
2014,"Anxiety Disorder",3,2,212
2014,"Anxiety Disorder",3,3,3831
2014,"Anxiety Disorder",3,4,52
2014,"Anxiety Disorder",3,5,22457
2014,"Anxiety Disorder",3,6,1502
2014,"Anxiety Disorder",4,1,1044
2014,"Anxiety Disorder",4,2,404
2014,"Anxiety Disorder",4,3,5810
2014,"Anxiety Disorder",4,4,145
2014,"Anxiety Disorder",4,5,47792
2014,"Anxiety Disorder",4,6,2004
2014,"Anxiety Disorder",5,1,328
2014,"Anxiety Disorder",5,2,255
2014,"Anxiety Disorder",5,3,2349
2014,"Anxiety Disorder",5,4,88
2014,"Anxiety Disorder",5,5,22912
2014,"Anxiety Disorder",5,6,978
2014,"ADHD",1,1,6
2014,"ADHD",1,2,7
2014,"ADHD",1,3,325
2014,"ADHD",1,5,496
2014,"ADHD",1,6,52
2014,"ADHD",2,1,1762
2014,"ADHD",2,2,431
2014,"ADHD",2,3,42455
2014,"ADHD",2,4,175
2014,"ADHD",2,5,82648
2014,"ADHD",2,6,8977
2014,"ADHD",3,1,446
2014,"ADHD",3,2,91
2014,"ADHD",3,3,6585
2014,"ADHD",3,4,24
2014,"ADHD",3,5,14836
2014,"ADHD",3,6,1344
2014,"ADHD",4,1,254
2014,"ADHD",4,2,93
2014,"ADHD",4,3,1578
2014,"ADHD",4,4,22
2014,"ADHD",4,5,9669
2014,"ADHD",4,6,503
2014,"ADHD",5,1,47
2014,"ADHD",5,2,57
2014,"ADHD",5,3,327
2014,"ADHD",5,4,19
2014,"ADHD",5,5,3734
2014,"ADHD",5,6,182
2014,"Conduct Disorder",1,1,3
2014,"Conduct Disorder",1,2,5
2014,"Conduct Disorder",1,3,144
2014,"Conduct Disorder",1,5,194
2014,"Conduct Disorder",1,6,16
2014,"Conduct Disorder",2,1,558
2014,"Conduct Disorder",2,2,127
2014,"Conduct Disorder",2,3,11839
2014,"Conduct Disorder",2,4,79
2014,"Conduct Disorder",2,5,21071
2014,"Conduct Disorder",2,6,2737
2014,"Conduct Disorder",3,1,196
2014,"Conduct Disorder",3,2,53
2014,"Conduct Disorder",3,3,3336
2014,"Conduct Disorder",3,4,18
2014,"Conduct Disorder",3,5,4423
2014,"Conduct Disorder",3,6,575
2014,"Conduct Disorder",4,1,37
2014,"Conduct Disorder",4,2,14
2014,"Conduct Disorder",4,3,426
2014,"Conduct Disorder",4,4,4
2014,"Conduct Disorder",4,5,932
2014,"Conduct Disorder",4,6,72
2014,"Conduct Disorder",5,1,7
2014,"Conduct Disorder",5,2,1
2014,"Conduct Disorder",5,3,33
2014,"Conduct Disorder",5,4,5
2014,"Conduct Disorder",5,5,103
2014,"Conduct Disorder",5,6,15
2014,"Delirium/Dementia",1,1,2
2014,"Delirium/Dementia",1,3,25
2014,"Delirium/Dementia",1,5,77
2014,"Delirium/Dementia",1,6,5
2014,"Delirium/Dementia",2,1,32
2014,"Delirium/Dementia",2,2,53
2014,"Delirium/Dementia",2,3,446
2014,"Delirium/Dementia",2,4,6
2014,"Delirium/Dementia",2,5,1424
2014,"Delirium/Dementia",2,6,125
2014,"Delirium/Dementia",3,1,35
2014,"Delirium/Dementia",3,2,16
2014,"Delirium/Dementia",3,3,388
2014,"Delirium/Dementia",3,4,15
2014,"Delirium/Dementia",3,5,873
2014,"Delirium/Dementia",3,6,55
2014,"Delirium/Dementia",4,1,57
2014,"Delirium/Dementia",4,2,42
2014,"Delirium/Dementia",4,3,775
2014,"Delirium/Dementia",4,4,59
2014,"Delirium/Dementia",4,5,3288
2014,"Delirium/Dementia",4,6,184
2014,"Delirium/Dementia",5,1,14
2014,"Delirium/Dementia",5,2,14
2014,"Delirium/Dementia",5,3,154
2014,"Delirium/Dementia",5,4,18
2014,"Delirium/Dementia",5,5,792
2014,"Delirium/Dementia",5,6,41
2014,"Bipolar Disorder",1,1,16
2014,"Bipolar Disorder",1,2,24
2014,"Bipolar Disorder",1,3,548
2014,"Bipolar Disorder",1,4,1
2014,"Bipolar Disorder",1,5,1401
2014,"Bipolar Disorder",1,6,95
2014,"Bipolar Disorder",2,1,822
2014,"Bipolar Disorder",2,2,309
2014,"Bipolar Disorder",2,3,12018
2014,"Bipolar Disorder",2,4,177
2014,"Bipolar Disorder",2,5,42017
2014,"Bipolar Disorder",2,6,4057
2014,"Bipolar Disorder",3,1,1196
2014,"Bipolar Disorder",3,2,305
2014,"Bipolar Disorder",3,3,17884
2014,"Bipolar Disorder",3,4,145
2014,"Bipolar Disorder",3,5,55119
2014,"Bipolar Disorder",3,6,3464
2014,"Bipolar Disorder",4,1,1858
2014,"Bipolar Disorder",4,2,777
2014,"Bipolar Disorder",4,3,24226
2014,"Bipolar Disorder",4,4,521
2014,"Bipolar Disorder",4,5,117505
2014,"Bipolar Disorder",4,6,5176
2014,"Bipolar Disorder",5,1,812
2014,"Bipolar Disorder",5,2,665
2014,"Bipolar Disorder",5,3,10731
2014,"Bipolar Disorder",5,4,328
2014,"Bipolar Disorder",5,5,60734
2014,"Bipolar Disorder",5,6,2479
2014,"Depressive Disorder",1,1,41
2014,"Depressive Disorder",1,2,36
2014,"Depressive Disorder",1,3,820
2014,"Depressive Disorder",1,4,1
2014,"Depressive Disorder",1,5,1828
2014,"Depressive Disorder",1,6,116
2014,"Depressive Disorder",2,1,1394
2014,"Depressive Disorder",2,2,2464
2014,"Depressive Disorder",2,3,15517
2014,"Depressive Disorder",2,4,193
2014,"Depressive Disorder",2,5,62609
2014,"Depressive Disorder",2,6,5751
2014,"Depressive Disorder",3,1,2297
2014,"Depressive Disorder",3,2,929
2014,"Depressive Disorder",3,3,27770
2014,"Depressive Disorder",3,4,242
2014,"Depressive Disorder",3,5,81616
2014,"Depressive Disorder",3,6,5669
2014,"Depressive Disorder",4,1,3511
2014,"Depressive Disorder",4,2,1850
2014,"Depressive Disorder",4,3,41505
2014,"Depressive Disorder",4,4,692
2014,"Depressive Disorder",4,5,172299
2014,"Depressive Disorder",4,6,7730
2014,"Depressive Disorder",5,1,1219
2014,"Depressive Disorder",5,2,892
2014,"Depressive Disorder",5,3,15494
2014,"Depressive Disorder",5,4,367
2014,"Depressive Disorder",5,5,83207
2014,"Depressive Disorder",5,6,3516
2014,"Oppositional Defiant Disorder",1,1,2
2014,"Oppositional Defiant Disorder",1,2,1
2014,"Oppositional Defiant Disorder",1,3,93
2014,"Oppositional Defiant Disorder",1,5,103
2014,"Oppositional Defiant Disorder",1,6,14
2014,"Oppositional Defiant Disorder",2,1,646
2014,"Oppositional Defiant Disorder",2,2,96
2014,"Oppositional Defiant Disorder",2,3,12825
2014,"Oppositional Defiant Disorder",2,4,73
2014,"Oppositional Defiant Disorder",2,5,19688
2014,"Oppositional Defiant Disorder",2,6,2634
2014,"Oppositional Defiant Disorder",3,1,249
2014,"Oppositional Defiant Disorder",3,2,59
2014,"Oppositional Defiant Disorder",3,3,4447
2014,"Oppositional Defiant Disorder",3,4,16
2014,"Oppositional Defiant Disorder",3,5,6011
2014,"Oppositional Defiant Disorder",3,6,807
2014,"Oppositional Defiant Disorder",4,1,26
2014,"Oppositional Defiant Disorder",4,2,7
2014,"Oppositional Defiant Disorder",4,3,486
2014,"Oppositional Defiant Disorder",4,4,2
2014,"Oppositional Defiant Disorder",4,5,842
2014,"Oppositional Defiant Disorder",4,6,86
2014,"Oppositional Defiant Disorder",5,1,1
2014,"Oppositional Defiant Disorder",5,3,35
2014,"Oppositional Defiant Disorder",5,4,7
2014,"Oppositional Defiant Disorder",5,5,93
2014,"Oppositional Defiant Disorder",5,6,18
